Gene ID,RE:SN12C,RE:A498,RE:CAKI-1,RE:ACHN,RE:UO-31,RE:786-0,RE:RXF-393,RE:TK-10,ME:M14,ME:UACC-257,ME:SK-MEL-28,ME:UACC-62,ME:LOXIMVI,ME:SK-MEL-2,ME:MALME-3M,ME:SK-MEL-5,LC:NCI-H522,LC:NCI-H23,PR:DU-145,CO:HT29,CO:SW-620,CO:HCT-15,CO:COLO205,CO:KM12,CO:HCC-2998,BR:T-47D,BR:MCF7,LC:NCI-H322M,CO:HCT-116,LE:SR,LE:RPMI-8226,LE:K-562,LE:HL-60,LE:MOLT-4,LE:CCRF-CEM,OV:IGROV1,OV:OVCAR-4,OV:OVCAR-3,PR:PC-3,OV:OVCAR-5,OV:SK-OV-3,BR:MDA-N,BR:MDA-MB-435,BR:MCF7/ADF-RES,OV:OVCAR-8,LC:NCI-H226,LC:HOP-62,CNS:U251,CNS:SNB-19,BR:BT-549,CNS:SF-268,CNS:SF-539,BR:HS578T,CNS:SNB-75,CNS:SF-295,LC:EKVX,LC:A549/ATCC,LC:NCI-H460,BR:MDA-MB-231/ATCC,LC:HOP-92
GENE0X,0.5921,-0.5723,-0.6356,-1.682,-0.4341,-0.4056,0.3744,-2.336,-0.0441,0.08438,-0.9321,-0.2606,-0.6941,0.8569,-0.5119,-0.8759,0.6568,0.6944,0.1253,-0.05562,0.9393,1.194,0.3764,0.6981,-0.805,0.6546,0.2477,0.06437,0.245,-0.5706,-0.3323,1.164,0.4756,0.7047,-2.233,0.2491,0.4699,-0.2756,0.1147,-0.6953,1.049,-0.8144,-1.476,1.398,0.7665,-0.5956,0.5566,0.9344,-0.818,0.3762,-0.1156,0.1235,-0.1431,-0.0006836,-0.3354,-0.3756,,-0.02406,1.273,-1.816
GENE1000X,,1.388,1.485,0.3684,-1.104,0.05469,0.4947,0.3547,0.8562,-0.9353,0.6482,-2.22,-0.6338,-0.8928,-2.322,-4.456,,-0.6453,0.6156,2.695,-2.55,0.6147,0.5467,0.1284,-0.05469,2.045,2.638,1.985,-0.4147,-0.2403,-0.242,0.4441,-2.394,-1.045,-0.3028,-1.171,-1.61,-0.9953,2.305,-0.205,0.4097,-2.924,-2.225,-0.7513,-1.173,0.07469,-1.893,-4.285,1.192,3.297,-1.735,0.2738,-2.503,0.7796,0.6149,2.905,2.406,2.586,-0.4072,3.185
GENE1001X,2.481,-0.07359,0.4231,-0.5631,3.035,1.293,2.243,-0.2669,-0.8754,-0.7269,-0.1134,-1.372,-0.1153,-1.124,-5.043,-2.967,-2.674,-0.6469,0.05406,2.213,1.018,0.05313,-0.2349,0.006875,-0.03625,1.583,1.316,0.9031,-0.4262,-0.01187,0.01641,-0.0675,0.4244,-0.7366,-0.8644,-0.6321,-0.3214,-0.9769,-1.397,0.1134,-0.07187,-2.416,,2.627,3.145,-0.006875,0.6653,-1.887,0.1208,2.395,1.753,,1.956,-0.5219,1.033,1.943,1.485,0.6547,1.081,2.783
GENE1002X,,0.01891,-0.08437,1.669,0.3572,-0.3044,-0.2544,0.9356,0.4171,-1.024,-4.661,-1.329,-0.02281,-0.1119,-1.141,-1.805,-0.8419,-0.5244,1.527,2.626,2.131,-0.3644,1.868,0.9794,1.246,2.606,2.649,1.616,1.806,,0.1889,0.305,-0.2531,0.005938,1.368,0.1404,-0.06887,0.2456,-0.1041,1.416,-0.7094,-3.163,,-0.0003125,-0.1622,-0.5744,0.4478,,-0.5367,-1.193,-0.6244,1.725,,-0.2294,-1.264,,,-1.693,2.444,2.296
GENE1003X,0.0873,,-0.2505,-0.1267,,-0.4105,3.03,0.03953,-2.129,-1.81,0.423,-0.9855,2.501,0.422,-1.497,0.5292,-0.968,-1.53,0.08047,,-0.06553,-2.27,,,-0.7598,-0.0002344,,-0.3605,,0.6645,0.9328,0.1989,0.9108,,,,,-1.26,,0.05984,0.7845,0.8008,1.39,-0.4864,-0.3283,0.7195,-2.888,-1.79,-2.383,2.731,0.1595,,-1.718,-0.7955,,1.41,-2.169,0.4111,,0.7495
GENE1004X,-2.172,0.5835,0.1102,-0.606,1.632,-0.1998,-0.1598,-0.1098,0.03176,0.3402,0.00375,-0.4048,-1.748,1.073,-1.686,0.4399,1.423,0.1402,1.521,-0.6098,0.8852,0.2202,-0.2878,-0.526,0.4409,,1.184,-0.3798,-0.4191,1.045,-0.2565,0.5796,-0.7685,0.4505,1.053,-0.165,-0.7443,0.4702,-1.029,0.3805,1.335,-0.9685,-1.84,-0.1157,0.6724,0.8802,0.7724,-0.02977,-0.002109,-0.3679,-0.1598,-0.02066,0.6327,0.3052,-1.04,-3.17,-0.328,,0.4384,2.19
GENE1005X,,1.608,0.06422,-0.07203,-1.364,-0.4858,4.114,-0.4758,3.016,-0.2258,2.528,0.6292,-0.08422,0.2467,6.798,-0.2461,-2.183,-0.4858,-0.4948,5.444,2.369,0.1642,0.2362,0.04797,2.145,2.164,0.0375,-0.2058,-1.065,5.169,2.878,-0.3564,-1.085,2.265,0.1867,-0.001016,0.4097,-0.5758,0.9745,-0.4755,,-1.145,-3.696,-0.9217,0.2964,0.3942,-0.2836,-0.1158,-0.6881,3.426,-1.186,3.003,,-0.06084,-4.196,-2.686,-0.924,-0.9842,0.2323,0.8142
GENE1006X,-0.5338,-0.04828,-0.3016,0.3422,-0.69,0.7184,-0.02156,0.6284,3.12,-0.8916,2.782,1.843,0.08,3.031,0.2422,0.4281,-2.039,-0.8816,0.5794,-2.122,-0.2266,-1.642,1.63,-1.558,-1.211,0.09867,-0.6583,-1.752,0.06906,3.283,-0.5383,-1.462,-3.05,-1.971,-1.319,-0.3668,0.1339,-1.562,-0.04125,-0.8413,0.08344,1.96,0.8384,2.022,1.431,-0.05156,0.07063,0.008438,0.2061,-0.009688,0.5084,0.6775,1.451,1.223,-0.4913,-0.3716,-0.5398,-0.82,0.1766,1.808
GENE1007X,-2.412,-0.1867,-0.1,-0.3963,0.04156,-8.66E-10,0.24,-0.01,1.332,0,1.174,0.325,-0.4384,1.182,1.694,0.4197,0.1224,0.35,-0.8991,-1.53,-0.7351,-0.25,0.242,-0.1963,-0.1294,0.9102,0.1533,-0.03,0.01062,2.305,0.1433,0.6594,0.5312,1.31,0.5625,-0.3152,-2.024,0.38,-0.2597,-0.3597,-0.785,1.191,0.38,0.1041,0.3121,1.07,-0.9078,-0.21,-0.07234,0.3019,-0.1,-0.0809,-0.1475,-0.6951,0.2202,-0.48,-0.2682,,-0.2219,0.94
GENE1008X,,-0.2343,-0.03754,-0.2638,-0.176,-0.1275,0.02246,1.802,0.684,0.9425,0.396,-0.3225,,0.105,-0.04379,-0.1379,-0.005098,-0.5175,-0.3866,1.942,0.007402,0.6025,0.2545,0.2362,0.1731,-0.1273,0.09574,0.2625,1.103,1.647,0.5057,-0.008164,2.234,0.2528,0.845,0.8172,0.778,-0.2375,-0.8872,0.4428,0.3075,0.06371,-0.9075,-0.4435,-0.4454,-0.4875,-0.3754,-0.7175,-0.6699,-0.3057,-0.5875,-1.238,,0.8574,2.063,0.1025,-0.6957,-1.516,,-2.228
GENE1009X,-0.7204,-0.07492,-0.5282,-0.1545,-0.05664,-0.3982,0.0718,-0.4682,0.6433,0.1818,-0.08469,0.7368,-0.7866,0.0543,-0.5145,-0.4685,0.9442,0.2918,-0.3673,0.5718,0.9567,-0.2182,0.9038,-0.1545,0.2024,1.762,1.325,-0.7182,-0.3876,0.6468,0.6151,-1.219,-1.197,1.832,1.154,-0.02344,-0.8527,-0.5782,-0.7179,0.02211,0.0268,0.343,-0.0382,0.2659,0.6939,-0.1882,-0.03602,0.0518,0.08945,-0.08633,1.412,0.6709,-0.1457,-0.4833,-1.478,0.3618,0.1536,-0.2466,0.3799,1.332
GENE100X,0.07715,-1.097,,,-1.459,-1.261,-2.651,,,2.609,0.6529,,,2.612,0.1431,-1.191,-1.348,0.01938,-0.01969,0.1794,,0.6294,,2.803,,-1.39,,,1.72,,-1.017,,,,,,,-3.111,-1.97,,-1.366,0.06062,0.5894,,-1.678,,,,2.807,,-0.4906,-1.452,,,2.06,-0.08063,0.5212,,0.5175,
GENE1010X,-1.901,-0.6955,-0.4787,-0.985,-0.6872,-0.1687,-0.5988,0.2312,2.423,1.651,2.415,2.876,0.05281,3.014,1.665,-0.07906,0.3637,-0.01875,0.01219,0.2513,0.2962,0.03125,-0.3568,-0.315,-0.1781,0.08148,0.4145,-0.4488,-0.09812,-0.00375,0.01453,0.04063,0.5025,0.6716,0.5738,0.266,0.8368,0.9513,0.4716,-0.4784,-0.4837,1.933,1.101,0.4553,0.003398,-0.4187,,-0.5787,-0.8411,-0.6569,-0.9187,-1.39,-0.4162,,-0.9485,-0.4088,-0.567,0.07281,-0.1206,-0.3688
GENE1011X,-1.869,-0.5339,-0.2472,-0.4834,,-0.02719,0.3828,0.7128,0.9043,0.4528,-0.5837,0.7078,-0.2256,1.515,-2.183,-0.3075,0.9653,1.363,0.6537,-0.3172,-0.01225,0.2528,0.4948,0.3066,0.1034,0.773,-0.5539,-0.1472,-2.367,6.938,0.2061,-0.2278,0.02406,0.5831,0.5153,-0.1724,-0.5617,-0.2172,-0.7569,0.1531,0.3278,-0.08594,,0.4169,0.705,0.5628,1.205,-4.547,-0.2695,-0.2153,1.033,-0.5081,2.965,-1.062,0.01305,,-1.975,-0.3056,,-0.5772
